Category,Illinois,Kentucky,Texas
Coal,685,639.4,1452
Natural Gas,1035,296.9,3994.2
Motor Gasoline excl. Ethanol,540.2,249.4,1596
Distillate Fuel Oil,304.3,150.5,1045
Jet Fuel,159.7,72,550.2
HGL,69.7,31.7,1914.8
Residual Fuel,1.3,0.2,194.3
Other Petroleum,166.6,77.6,1212.8
Nuclear Electric Power,1016.5,0,403.5
Hydroelectric Power,1.2,41.5,9.8
Biomass,147.5,52.6,221.3
Other Renewables,117.3,3.2,645.5
Net Electricity Imports,0,0,-19.1
Net Interstate Flow of Electricity,-372.8,43.4,145.6
