Illinois Energy Consumption Estimates 2017
https://www.eia.gov/state/?sid=IL
21:05:38 GMT-0500 (Central Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Illinois Energy Consumption Estimates Trillion Btu
Coal,685
Natural Gas,1035
Motor Gasoline excl. Ethanol,540.2
Distillate Fuel Oil,304.3
Jet Fuel,159.7
HGL,69.7
Residual Fuel,1.3
Other Petroleum,166.6
Nuclear Electric Power,1016.5
Hydroelectric Power,1.2
Biomass,147.5
Other Renewables,117.3
Net Electricity Imports,0
Net Interstate Flow of Electricity,-372.8
