Kentucky Energy Consumption Estimates 2017
https://www.eia.gov/state/?sid=KY
21:05:04 GMT-0500 (Central Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Kentucky Energy Consumption Estimates Trillion Btu
Coal,639.4
Natural Gas,296.9
Motor Gasoline excl. Ethanol,249.4
Distillate Fuel Oil,150.5
Jet Fuel,72
HGL,31.7
Residual Fuel,0.2
Other Petroleum,77.6
Nuclear Electric Power,0
Hydroelectric Power,41.5
Biomass,52.6
Other Renewables,3.2
Net Electricity Imports,0
Net Interstate Flow of Electricity,43.4
