Texas Energy Consumption Estimates 2017
https://www.eia.gov/state/?sid=TX#tabs-1
21:03:39 GMT-0500 (Central Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,Texas Energy Consumption Estimates Trillion Btu
Coal,1452
Natural Gas,3994.2
Motor Gasoline excl. Ethanol,1596
Distillate Fuel Oil,1045
Jet Fuel,550.2
HGL,1914.8
Residual Fuel,194.3
Other Petroleum,1212.8
Nuclear Electric Power,403.5
Hydroelectric Power,9.8
Biomass,221.3
Other Renewables,645.5
Net Electricity Imports,-19.1
Net Interstate Flow of Electricity,145.6
