Utility_ID,Utility_Name,Plant_Code,Plant_Name,Street_Address,City,State,Zip,County,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
794,Apollo Energy Corp,56378,Pakini Nui Wind Farm,93-1373 South Point Rd.,Naalehu,HI,96772,Hawaii,18.9742,-155.6914,N/A,22,IPP Non-CHP,69
794,Apollo Energy Corp,54390,Kamaoa Wind Farm,93-1373 South Point Road,Ka'u,HI,96772,Hawaii,18.992222,-155.668056,N/A,22,IPP Non-CHP,0
3608,Puna Geothermal Venture,52028,Puna Geothermal Venture I,14-3860 Kapoho Pahoa Rd,Pahoa,HI,96778,Hawaii,19.478976,-154.888362,Water wells And Air Cooled,22,IPP Non-CHP,69
8287,Hawaii Electric Light Co Inc,7130,Puna,Puna Mill Road,Keaau,HI,96749,Hawaii,19.6316,-155.0313,Puna Well,22,Electric Utility,13.8
8287,Hawaii Electric Light Co Inc,772,W H Hill,54 Halekauila Street,Hilo,HI,96720,Hawaii,19.7041,-155.0607,Wells,22,Electric Utility,69
8287,Hawaii Electric Light Co Inc,769,Kanoelehua,54 Halekauila Street,Hilo,HI,96720,Hawaii,19.7052,-155.0625,N/A,22,Electric Utility,69
54809,Wailuku Holding Company LLC,54827,Wailuku River Hydroelectric,Hilo Forest Reserve,Hilo,HI,96720,Hawaii,19.712994,-155.14857,Wailuku River,22,IPP Non-CHP,69
8287,Hawaii Electric Light Co Inc,774,Waiau Hydro,Waianuenue Ave and Hwy 200,Hilo,HI,96720,Hawaii,19.7203,-155.1189,Wailuku River,22,Electric Utility,13.8
8287,Hawaii Electric Light Co Inc,6478,Shipman,20 Banyan Drive,Hilo,HI,96720,Hawaii,19.7239,-155.069,Pacific Ocean,22,Electric Utility,13.8
8287,Hawaii Electric Light Co Inc,771,Puueo,117 Wainaku Avenue,Hilo,HI,96720,Hawaii,19.7264,-155.0908,Wailuku River,22,Electric Utility,13.8
8287,Hawaii Electric Light Co Inc,8083,Keahole,73-4249 Pukiawe Street,Kailua Kona,HI,96740,Hawaii,19.7317,-156.0283,Wells,22,Electric Utility,69
61001,"Hu Honua Bioenergy, LLC",61364,Hu Honua Bioenergy Facility,TBD,Pepeekeo,HI,96783,Hawaii,19.843504,-155.087069,Wells,22,IPP Non-CHP,69
8287,Hawaii Electric Light Co Inc,7769,Lalamilo Windfarm,Waimea,Kamuela,HI,96743,Hawaii,20.023333,-155.746667,N/A,22,Electric Utility,12.7
8287,Hawaii Electric Light Co Inc,768,Waimea,66-1591 Kawaihae Road,Kamuela,HI,96743,Hawaii,20.0252,-155.6955,N/A,22,Electric Utility,69
61213,"Hamakua Energy, LLC",55369,Hamakua Energy Plant,45-300 Lehua St.,Honokaa,HI,96727,Hawaii,20.0939,-155.4711,Wells,22,IPP Non-CHP,69
57170,"EDF Renewable Asset Holdings, Inc.",56447,Hawi Wind Farm,Upol 8 Road,Hawi,HI,96719,Hawaii,20.257252,-155.850382,N/A,22,IPP Non-CHP,31.5
57372,Auwahi Wind Energy LLC,57996,Auwahi Wind Energy,20100 Piilani Hwy,Kula,HI,96790,Maui,20.596,-156.318,N/A,22,IPP Non-CHP,69
11843,Maui Electric Co Ltd,56055,Hana Substation,0 Kawai Ola Place,Hana,HI,96713,Maui,20.765833,-155.996111,NA,22,Electric Utility,23
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,Manele Road & Kaumalapau Hwy,Lanai City,HI,96763,Maui,20.7667,-156.9233,N/A,22,IPP Non-CHP,12
11843,Maui Electric Co Ltd,7264,Miki Basin,1001 Miki Road,Lanai City,HI,96763,Maui,20.79,-156.9342,NA,22,Electric Utility,12.47
60712,South Maui Renewable Resources LLC,61099,Kihei Solar Farm,TMK No. (2) 2-2-2:84,Kihei,HI,96753,Maui,20.7937,-156.4339,N/A,22,IPP Non-CHP,12.47
59155,"First Wind O&M, LLC",57082,Kaheawa Wind Power II LLC,3000 Honoapiilani Hwy,Wailuku,HI,96793,Maui,20.79467,-156.536,N/A,22,IPP Non-CHP,69
11843,Maui Electric Co Ltd,6504,Maalaea,1000 N Kihei Road,Kihei,HI,96753,Maui,20.80117,-156.492981,NA,22,Electric Utility,69
59155,"First Wind O&M, LLC",56449,Kaheawa Pastures Wind Farm,Maalaea,Maalaea,HI,96753,Maui,20.81421,-156.551,N/A,22,IPP Non-CHP,69
61262,"Alexander & Baldwin, Inc.",10604,Hawaiian Comm & Sugar Puunene Mill,1 Hansen Road,Puunene,HI,96784,Maui,20.867453,-156.453958,Deep Wells,311,Industrial CHP,69
60713,Ku'ia Solar LLC,61101,Ku'ia Solar,TMK No. (2) 4-6-018-003,Lahaina,HI,96761,Maui,20.886013,-156.657889,N/A,22,IPP Non-CHP,12.47
61262,"Alexander & Baldwin, Inc.",58277,Paia Hydroelectric Plant,Baldwin Avenue,Paia,HI,96779,Maui,20.8867,-156.3378,Kamaole Weir/Wailoa Ditch,111,Industrial Non-CHP,69
61262,"Alexander & Baldwin, Inc.",55864,Kaheka Hydro,Baldwin Ave (closest st),Puunene,HI,96784,Maui,20.8886,-156.3569,Kamole Weir,111,Industrial Non-CHP,69
11843,Maui Electric Co Ltd,6056,Kahului,200 Hobron Ave,Kahului,HI,96732,Maui,20.896884,-156.462696,Pacific Ocean - wells,22,Electric Utility,23
11843,Maui Electric Co Ltd,792,Palaau Power,32A Ulili Street,Kaunakakai,HI,96748,Maui,21.106,-157.0647,NA,22,Electric Utility,34
49846,Covanta Honolulu Resource Recovery,10334,H Power,91-174 Hanua Street,Kapolei,HI,96707,Honolulu,21.300036,-158.098615,Caprock Well,562212,Commercial Non-CHP,138
19547,Hawaiian Electric Co Inc,56514,Kalaeoloa Pole Yard DG,91 - 111 Kalaeloa Blvd,Kapolei,HI,96707,Honolulu,21.3014,-158.0958,N/A,22,Electric Utility,12
9989,Kalaeloa Partners LP,54646,Kalaeloa Cogen Plant,91-111 Kalaeloa Blvd.,Kapolei,HI,96707,Honolulu,21.302106,-158.096318,Wells,22,IPP CHP,138
19547,Hawaiian Electric Co Inc,56329,Campbell Industrial Park,91-196 Hanua Street,Kapolei,HI,96707,Honolulu,21.3025,-158.101667,Wells,22,Electric Utility,12
58553,PAR Petroleum,10093,Tesoro Hawaii,91 325 Komohana St,Kapolei,HI,96707,Honolulu,21.303229,-158.091438,N/A,32411,Industrial CHP,138
177,AES Hawaii Inc,10673,AES Hawaii,91-086 Kaomi Loop,Kapolei,HI,96707,Honolulu,21.303419,-158.106528,Wells,22,IPP CHP,138
19547,Hawaiian Electric Co Inc,61851,Campbell Industrial Park BESS,91-196 Hanua St,Honolulu,HI,96707,Honolulu,21.3064,-158.105,N/A,22,Electric Utility,12
19547,Hawaiian Electric Co Inc,764,Honolulu,170 Ala Moana Blvd,Honolulu,HI,96813,Honolulu,21.3068,-157.8819,Pacific Ocean,22,Electric Utility,46
3453,Island Energy Services,10194,Hawaii Cogen,91-480 Malakole Street,Kapolei,HI,96707,Honolulu,21.311667,-158.113889,Municipality,32411,Industrial CHP,12
19547,Hawaiian Electric Co Inc,56331,Iwilei Tank Farm DG,855 North Nimitz Hwy,Honolulu,HI,96813,Honolulu,21.3169,-157.8764,N/A,22,Electric Utility,12
58233,Kalaeloa Solar Two LLC,58259,Kalaeloa Solar Two,100-958 Boxer Street,Honolulu,HI,96707,Honolulu,21.32,-158.086944,N/A,22,IPP Non-CHP,46
58611,Forest City Sustainable Resources Pearl City LLC,58684,Kapolei Solar Energy Park,91-290 Malakole Street,Kapolei,HI,96707,Honolulu,21.321111,-158.1175,N/A,22,IPP Non-CHP,12.47
19547,Hawaiian Electric Co Inc,56515,CEIP Substation Distributed Generation,91 -55 Kalaeloa Blvd,Kapolei,HI,96707,Honolulu,21.3278,-158.0964,N/A,22,Electric Utility,12
58596,Hanwha Q CELLS USA,58651,Kalaeloa Renewable Energy Park,Roosevelt Ave & Essex Road,Ewa Beach,HI,96706,Honolulu,21.328056,-158.04,N/A,22,IPP Non-CHP,12.47
19547,Hawaiian Electric Co Inc,58469,HNL Emergency Power Facility,300 Rodgers Blvd,Honolulu,HI,96819,Honolulu,21.336389,-157.919444,N/A,22,Electric Utility,12
19547,Hawaiian Electric Co Inc,765,Kahe,92-200 Farrington Hwy,Kapolei,HI,96707,Honolulu,21.356395,-158.128853,Pacific Ocean,22,Electric Utility,138
58611,Forest City Sustainable Resources Pearl City LLC,58676,Pearl City Peninsula Solar Park,Victor Wharf Access Road,Honolulu,HI,96782,Honolulu,21.375556,-157.968056,N/A,22,IPP Non-CHP,11.5
19547,Hawaiian Electric Co Inc,56330,Ewa Nui Substation DG,91-1440 Farrington Hwy,Honolulu,HI,96797,Honolulu,21.3756,-158.0478,N/A,22,Electric Utility,12
19547,Hawaiian Electric Co Inc,766,Waiau,475 Kamehamenha Hwy,Pearl City,HI,96782,Honolulu,21.388997,-157.961518,Pearl Harbor,22,Electric Utility,138
60281,"Altus Power America Management, LLC",58659,Aloha Solar Energy Fund 1 PK1,87-670 Hakimo Road,Waianae,HI,96792,Honolulu,21.406944,-158.151389,N/A,22,IPP Non-CHP,46
60987,Lanikuhana Solar LLC,58281,Lanikuhana Solar LLC,94-840 Lanikuhana Ave,Mililani,HI,96789,Honolulu,21.4287,-158.02361,N/A,22,IPP Non-CHP,138
60793,EE Waianae Solar Project LLC,61172,EE Waianae Solar Project,85-191 Ala Hema St,Waianae,HI,96792,Honolulu,21.452002,-158.187888,N/A,22,IPP Non-CHP,46
59764,"Waipio PV, LLC",60024,Waipio Solar,94-1202 Ka Uka Blvd,Waipio,HI,96787,Honolulu,21.456,-157.982,N/A,22,IPP Non-CHP,138
55910,Lanai Sustainability Research LLC,57242,Mililani South Solar Farm,100 Wahelu Ave,Mililani,HI,96789,Honolulu,21.46,-157.9603,N/A,22,IPP Non-CHP,15
58601,Waihonu South LLC,58656,Waihonu South Solar,95-030 Waihonu Street,Mililani,HI,96761,Honolulu,21.468889,-158.016389,N/A,22,IPP Non-CHP,46
58600,Waihonu North LLC,58655,Waihonu North Solar,95-030 Waihonu Street,Mililani,HI,96761,Honolulu,21.470556,-158.013333,N/A,22,IPP Non-CHP,46
19547,Hawaiian Electric Co Inc,60328,Schofield Generating Station,,Wahiawa,HI,96786,Honolulu,21.4785,-158.0581,Municipality,22,Electric Utility,46
19547,Hawaiian Electric Co Inc,56332,Helemano Substation DG,64-1499 Kamehemeha Hwy,Wahiawa,HI,96786,Honolulu,21.5292,-158.0458,N/A,22,Electric Utility,46
56868,Kawailoa Wind LLC,57529,Kawailoa Wind,61-488 Kamehameha Hwy,Haleiwa,HI,96712,Honolulu,21.610278,-158.040833,N/A,22,IPP Non-CHP,46
59898,"Kawailoa Solar, LLC",60125,Kawailoa Solar,61-488 Kamehameha Hwy,Haleiwa,HI,96712,Honolulu,21.624,-158.055,N/A,22,IPP Non-CHP,0
58718,Na Pua Makani Power Partners LLC,58837,Na Pua Makani Wind Project,56-452 Kamehameha Highway,Kahuku,HI,96731,Honolulu,21.666944,-157.97,N/A,22,IPP Non-CHP,46
58606,Mauka Fit One LLC,58662,Mauka FIT One,56-1060 Kamehameha Highway,Kahuku,HI,96731,Honolulu,21.679722,-157.984444,N/A,22,IPP Non-CHP,12.47
59155,"First Wind O&M, LLC",57087,Kahuku Wind Power LLC,Kamehameha Hwy and Charlie Rd,Honolulu,HI,96731,Honolulu,21.68097,-157.975,N/A,22,IPP Non-CHP,46
10071,Kauai Island Utility Cooperative,6474,Port Allen (HI),261 Akaula St,Eleele,HI,96705,Kauai,21.899583,-159.585042,Pacific Ocean,22,Electric Utility,57
10071,Kauai Island Utility Cooperative,58640,KRS II Koloa Solar,Mahaulepu Rd,Koloa,HI,96756,Kauai,21.900833,-159.45,N/A,22,Electric Utility,57
11936,McBryde Sugar Co Ltd,58549,Port Allen Solar,Aka Ula Street,Eleele,HI,96705,Kauai,21.901944,-159.581667,N/A,22,IPP Non-CHP,12.47
60691,"AES LAWAI SOLAR, LLC",61068,AES LAWAI SOLAR,4425 Lawai Rd.,Lawai,HI,96756,Kauai,21.90823,-159.491974,N/A,22,IPP Non-CHP,57
7019,Gay & Robinson Inc,50333,Gay Robinson,One Kaumakani Ave,Kaumakani,HI,96747,Kauai,21.9178,-159.6294,Olokele Ditch,115,Industrial Non-CHP,12
11936,McBryde Sugar Co Ltd,10412,Kalaheo Hydro,Opu Road Extension,Kalaheo,HI,96714,Kauai,21.936075,-159.528581,Alexander Reservoir,111,Industrial Non-CHP,12.5
58873,Green Energy Team LLC,59035,"Biomass to Energy Facility, Kauai",5031 Ku'ia Road,Koloa,HI,96756,Kauai,21.965278,-159.460556,Deep Wells,22,IPP Non-CHP,57
10071,Kauai Island Utility Cooperative,56258,Kapaia Power Station,4941-K Maalo Rd,Lihue,HI,96766,Kauai,21.996451,-159.375803,N/A,22,Electric Utility,57
60947,Tesla Inc.,60546,KIUC Kapaia PV and BA Storage Project,34 Maalo Road,Lihue,HI,96766,Kauai,21.997272,-159.379194,N/A,22,IPP Non-CHP,1
56863,Kapaa Solar LLC,57525,Kapaa Photovoltaic Project,Lot No. 2 of Tax Map Key (4)4-,Kapaa,HI,96746,Kauai,22.080416,-159.331599,N/A,22,IPP Non-CHP,12.47
10071,Kauai Island Utility Cooperative,58639,KRS I Anahola Solar,Kuhio Hwy,Anahola,HI,96703,Kauai,22.131667,-159.303056,N/A,22,Electric Utility,57
11936,McBryde Sugar Co Ltd,10413,Wainiha Hydro,Powerhouse Road Extension,Hanalei,HI,96714,Kauai,22.196292,-159.556142,Wainiha River,111,Industrial Non-CHP,57
50079,Utility Board of Key West City,6584,Stock Island,6900 Front Street Extension,Stock Island,FL,33041,Monroe,24.563333,-81.7342,N/A,22,Electric Utility,138
50079,Utility Board of Key West City,164,Big Pine,Industrial Road MM 32.5,Big Pine Key,FL,33041,Monroe,24.579167,-81.685,N/A,22,Electric Utility,0
50079,Utility Board of Key West City,6582,Cudjoe,Blimp Rd MM 21.5,Cudjoe Key,FL,33041,Monroe,24.579167,-81.685,N/A,22,Electric Utility,0
6443,"Florida Keys El Coop Assn, Inc",696,Marathon Generating Plant,3421 Overseas Highway,Marathon,FL,33050,Monroe,24.710833,-81.0927,Boot Key Harbor,22,Electric Utility,25
6452,Florida Power & Light Co,621,Turkey Point,9700 SW 344th Street,Homestead,FL,33035,Miami Dade,25.4356,-80.3308,Biscayne Bay,22,Electric Utility,230
8795,City of Homestead - (FL),665,G W Ivey,675 N. Flagler Avenue,Homestead,FL,33030,Miami Dade,25.4756,-80.47,Wells,22,Electric Utility,13.2
12411,Miami Dade Water & Sewer Dept,54624,South District Wastewater Treatment Plt,8950 SW 232 St,Miami,FL,33190,Miami Dade,25.549834,-80.336253,Reclaimed Wastewater,22132,Commercial CHP,13.2
6452,Florida Power & Light Co,610,Cutler,14925 SW 67th Ave,Miami,FL,33158,Miami Dade,25.6321,-80.2989,Biscayne Bay,22,Electric Utility,230
6452,Florida Power & Light Co,61766,Miami Dade Solar Energy Center,18355 SW 136th St.,Miami,FL,33196,Miami Dade,25.64,-80.49,N/A,22,Electric Utility,0
12411,Miami Dade Water & Sewer Dept,54623,Central District Wastewater Treat Plant,3989 Rickenbacker cswy,Miami,FL,33131,Miami Dade,25.748565,-80.152791,Reclaimed Wastewater,22132,Commercial CHP,13.2
6452,Florida Power & Light Co,60006,FIU Solar,10555 West Flagler Street,Miami,FL,32174,Miami Dade,25.770008,-80.367743,N/A,22,Electric Utility,23
57389,IKEA Property Inc,61173,IKEA Miami 327,1801 NW 117th Ave.,Miami,FL,33172,Miami Dade,25.7915,-80.3838,N/A,53,Commercial Non-CHP,48
50085,Covanta Southeast Florida Renewable Ltd,10062,Miami Dade County Resource Recovery Fac,6990 NW 97 Ave,Miami,FL,33178,Miami Dade,25.8356,-80.3566,Wells,22,IPP Non-CHP,240
2409,Brownsville Public Utilities Board,3559,Silas Ray,94 West 13th St Power Plant Dr,Brownsville,TX,78520,Cameron,25.9131,-97.5214,Rio Grande River,22,Electric Utility,138
