Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
10867,Tate&LyleDecaturPlantCogen,39.84919,-88.931944,Municipality,311,IndustrialCHP,34.5
50903,SagamorePlantCogeneration,40.4439,-86.86,Wells,311,IndustrialCHP,12.47
10671,AESShadyPointLLC,35.1931,-94.6458,PoteauRiver,22,IPPCHP,161
2527,GreenidgeGenerationLLC,42.6789,-76.9483,SenecaLake,22,IPPNon-CHP,115
3305,RockyRiver(SC),34.2572,-82.6097,LakeSecession,22,ElectricUtility,44
10678,AESWarriorRunCogenerationFacility,39.595171,-78.745333,CityOfCumberlandWaterSuppl,22,IPPCHP,138
10819,AdaCogenerationLP,42.962672,-85.494071,CityWater,22,IPPCHP,47.6
6390,Tangier,37.8277,-75.9915,Wells,22,ElectricUtility,12.47
6391,SmithIsland,37.9955,-76.038881,Wells,22,ElectricUtility,12.47
55170,GraniteRidge,42.9042,-71.4261,CityofManchesterPOTW,22,IPPNon-CHP,230
10593,AgrilectricPowerPartnersLtd,30.2012,-93.1269,Rainwater,22,IPPNon-CHP,69
1956,Adrian,43.63711,-95.932794,NA,22,ElectricUtility,4.16
52077,LostHillsCogenerationPlant,35.666111,-119.766944,NA,211,IndustrialCHP,115
50752,SouthBelridgeCogenerationFacility,35.438611,-119.7075,NA,211,IndustrialCHP,115
55185,AeraSouthBelridgeCogenFacility,35.4292,-119.6864,NA,211,IndustrialCHP,115
10673,AESHawaii,21.303419,-158.106528,Wells,22,IPPCHP,138
10677,CESPlaceritaPowerPlant,34.3801,-118.4999,Undergroundwaterwell,22,IPPNon-CHP,66
54452,AgriumKenaiNitrogenOperations,60.6732,-151.3784,Wells,325311,IndustrialCHP,24.8
55,PointA,31.361146,-86.518307,ConecuhRiver,22,ElectricUtility,46
53,Gantt,31.4033,-86.479469,ConecuhRiver,22,ElectricUtility,46
533,McWilliams,31.400255,-86.476449,ConecuhRiver,22,ElectricUtility,115
6192,Portland(FL),30.573611,-86.215833,NA,22,ElectricUtility,115
56,CharlesRLowman,31.488019,-87.910747,TombigbeeRiver,22,ElectricUtility,115
7063,McIntosh(AL),31.2546,-88.0299,Ciba,22,ElectricUtility,115
10339,SouthsideWaterReclamationPlant,35.016111,-106.669722,NA,22,IPPCHP,15
60680,ANADSolarArray,33.626728,-85.969481,NA,22,ElectricUtility,12.47
11,HNeelyHenryDam,33.7845,-86.0524,CoosaRiver,22,ElectricUtility,115
20,WeissDam,34.172142,-85.753806,CoosaRiver,22,ElectricUtility,115
15,LayDam,32.9633,-86.5187,CoosaRiver,22,ElectricUtility,115
17,MitchellDam,32.806025,-86.444892,CoosaRiver,22,ElectricUtility,115
60679,FortRuckerSolarArray,31.331148,-85.73019,NA,22,ElectricUtility,12.47
16,MartinDam,32.680394,-85.911442,TallapoosaRiver,22,ElectricUtility,115
19,ThurlowDam,32.535436,-85.887614,TallapoosaRiver,22,ElectricUtility,115
21,YatesDam,32.5743,-85.8901,TallapoosaRiver,22,ElectricUtility,115
13,JordanDam,32.6189,-86.2548,CoosaRiver,22,ElectricUtility,115
4,WalterBouldinDam,32.583889,-86.283056,CoosaRiver,22,ElectricUtility,115
7,Gadsden,34.0128,-85.9708,CoosaRiver,22,ElectricUtility,115
10,GreeneCounty,32.6017,-87.7811,BlackWarriorRiver,22,ElectricUtility,230
6001,JosephMFarley,31.2231,-85.1116,ChattahoocheeRiver,22,ElectricUtility,500
6002,JamesHMillerJr,33.6319,-87.0597,BlackWarriorRiver,22,ElectricUtility,500
7698,GeneralElectricPlastic,32.310226,-86.52542,CityWater,22,ElectricUtility,115
3,Barry,31.0069,-88.0103,MobileRiver,22,ElectricUtility,230
7721,TheodoreCogenFacility,30.525445,-88.128477,DeerRiver,22,ElectricUtility,115
6188,HarrisDam,33.258281,-85.616047,TallapoosaRiver,22,ElectricUtility,115
26,ECGaston,33.244211,-86.458056,CoosaRiver,22,ElectricUtility,230
14,LoganMartinDam,33.425878,-86.337547,CoosaRiver,22,ElectricUtility,115
2,BankheadDam,33.458665,-87.356823,BlackWarriorRiver,22,ElectricUtility,115
12,HoltDam,33.2553,-87.4495,BlackWarriorRiver,22,ElectricUtility,115
18,LewisSmithDam,33.9406,-87.1077,SipseyForkBlackWarriorRive,22,ElectricUtility,161
8,Gorgas,33.644344,-87.196486,WarriorRiver,22,ElectricUtility,230
7697,WashingtonCountyCogenerationFacility,31.2504,-88.0156,CityWater,22,ElectricUtility,115
